阅读,评论,标题,作者,最后更新
493,5,我是看多的，必须涨[鼓掌][鼓掌]大家都赚大钱[鼓掌][,爽朗的笑笑,06-13 21:35
900,14,2016年还是2017年，三聚环保从15元涨到48元的时候，论,中远海控的钉子户,06-13 21:29
4930,16,明天4.10元成本权证转为股票上市流通，中远抛压有多大,城淇688,06-13 21:25
3034,12,#中远海控#好期待周二[鼓掌]；一个集装箱提价229美元6,大唐雨音968,06-13 21:21
425,3,油价上涨会不会对中远不利啊,风一样得男银,06-13 21:19
4006,17,感觉1年内可以创新高：破67.84,山高路远12,06-13 21:12
488,1,下月公布亮丽的业绩冲35元,股友RZyryp,06-13 21:11
439,2,静待中远迎来戴维斯双击，60元可期,山高路远12,06-13 21:08
738,5,大宗交易是中信卖的,中远海控能行吗,06-13 21:07
36125,164,集运价格持续上涨，高景气有望跨越三季度,中远海控资讯,06-13 21:00
378,2,随时起飞的感觉,山高路远12,06-13 20:59
1479,7,还以为今天是北向砸盘呢，看北向净买3.35个,浑元形意太极,06-13 20:56
2012,9,尾盘出货不用在意，看大盘最后一刻的巨阴成,啊呆不呆,06-13 20:53
1050,6,明天平开，或低开，放点小量下跌,绿野之狼1654,06-13 20:47
3116,4,今天收盘价真有意思.遇我发发，收个正宗十,基民08779tp270,06-13 20:40
6059,42,我对海控后续的看法(文章有点长，希望你耐,五保户刘大富,06-13 20:34
2259,17,今天总结了一些回答股友们提问的问题。可以略过不看，,我要我喜欢,06-13 23:12
51561,2036,即期运价指数和综合运价指数均大涨3.4%，很多人说有个,中远海控钉子户,06-13 22:26
1334,8,紧跟钉子哥的步伐！刚看到吧里有位兄台买卖T密密麻麻,股市渣男只做波段,06-13 22:21
5232,53,我简介里已经说的很清楚了，本人实战出身，专注股票市,我要我喜欢,06-13 21:49
5793,149,首先，预祝大家端午节快乐，我这人有点迷糊，差点打成,我要我喜欢,06-13 21:48
638,2,这股机构抱团，一旦蹦盘，割菜随便割，主力成本低到你,Beyond888,06-13 21:09
5756,58,今天如果补了25.03缺口我就走了，我也希望大家跟我一,我要我喜欢,06-13 21:03
2154,59,今天我自己个人感觉，盘面继续缩量，承接力不错，稳住,爱玩的乔妹,06-13 20:33
3452,6,躺是最佳形象词。猜顶底都是瞎子摸象，后面看得到摸得,神兽奥特曼先生,06-13 20:30
436,1,海控纳入上证180,浑元形意太极,06-13 20:30
468,2,周期龙一！不上200不下车,mars_li,06-13 20:27
8040,60,中远海控下周调整，调整价位23.5与26.5之间。,股市闯荡二十年,06-13 20:23
646,6,周二必定暴跌,股友7t0871709F,06-13 20:19
3094,27,统一六国之诸侯的纷争,股友RoYltE,06-13 20:17
300,0,下周必上30，一个月干到6000亿不过分吧,股友w72985O720,06-13 20:11
2416,12,$润和软件(SZ300339)$$中远海控(SH601919)$本周市场是,zt99766,06-13 20:09
3190,11,大家好我是章夫人，中远海控看多32元不变，持股必须要,章夫人欣兒,06-13 19:58
3376,17,我是中远海控的多头，我相信星辰大海，我相信40元以上,股友bhXd09,06-13 19:57
11727,82,上午开盘到10点，很多短线散户看到中远回落，应该就迫,蜀中龙1976,06-13 19:53
4332,4,主力资金、融资、北向资金三大主力资金同时持有，中远,辉哥侃股,06-13 19:50
4769,13,从一个完整的趋势上看，中信证券给出的38元过于保守！,耐心忍耐,06-13 19:48
3671,16,典型要调整了事实上，抄作业会让你失去独立思考和自主,绿野之狼1654,06-13 19:46
349,0,疯狂加仓！,股友891UY22931,06-13 19:45
4019,19,中远海控航运板块的绝对龙头，第一季度业绩大增！长期,股市缔造奇迹,06-13 19:37
499,0,向左？还是向右！,股友们好123,06-13 19:36
349,0,涨停一字板,股友920P1109O9,06-13 19:32
353,0,看送价格表／破百小了,白菜豆腐大米饭,06-13 19:23
329,1,变轨。,山人空玄,06-13 19:19
715,3,A股最新纪录东鹏饮料上市才10天22家研报,一流的我,06-13 19:18
3869,90,很多人问我有没有推荐的股票，我暂时不推荐啊，有时候,我要我喜欢,06-13 19:16
4923,5,中远海控  趋势+价值,K线包含1切,06-13 19:04
1439,18,这破股连个ST都不如，已经站在山顶高位了，不懂为什么,我要我喜欢,06-13 18:51
716,7,一个不负责任的评估未来的估计会坑害很多的股民，,喝酒不要贪杯,06-13 18:48
6741,29,中远海控：一个字“买”，两个字“不卖”，三个字“就,股市经纬线,06-13 18:47
384,1,厦门国贸出售房地产收入高达103亿，市值却只有160亿。,观海听饕,06-13 18:41
917,5,股票产生价格波动部分机理是理性和明智的，另一些则是,中远海控小迷妹,06-13 18:41
1318,20,今天减仓过节了，留个底仓节后再战，谢谢庄家仁慈[鼓,我被主力盯上了啊,06-13 18:39
8719,42,看你们谁还敢帮别人炒股？这就是下场！,南沙居士,06-13 18:37
475,7,润禾软件遭监控了，没有业绩支撑证监会不会让其成妖的,基民1nOREW,06-13 18:32
555,3,北向资金加仓了不少，上周！,xuxin5,06-13 18:21
604,3,十几年了，你能让在68的股民解放吗？,一切皆在悟,06-13 18:11
324,2,今天这3.4个点是发的过节费吗[捂脸][捂脸],舵手新一,06-13 18:00
4511,17,"人气上去了，关注的人多了,场外准备入场的资金也会相",海运节节高,06-13 17:57
1469,5,贫穷是急躁的根源 急躁是韭菜的坟墓,杨令公,06-13 17:55
546,4,两王四个二，怎么打都是赢的机会大。,S鸿运当头S,06-13 17:54
2511,10,总结个人多年以后的股票投资经验：1.本金小。本金小到,出口代理,06-13 17:51
46625,1008,复盘：冲高，砸落，再冲高。今天的走势昨天就给它写好,中远海控钉子户,06-13 17:49
472,2,周二跌停板,股市刘伯温8399,06-13 17:48
4184,33,一只股票是否值得继续持有，和我们的持股成本没有任何,南沙居士,06-13 17:48
407,1,中信唱多看看07年套了多少韭菜[大笑],股友dGKeRt,06-13 17:33
3702,11,炒股特别是超短线，有时候真的觉得很孤独，所以才会偶,红红火火13145,06-13 17:26
574,2,华尔街公牛哥下达江湖令：,华尔街公牛哥,06-13 17:22
915,6,天量吊顶线，周二开始砸盘回调了,一柱擎天518,06-13 17:21
277,0,周二领完端午红包打算先出掉，一点五分低点接回来,基民CFPGA,06-13 17:21
586,4,海控下周二怎么走？,海盗中远,06-13 17:14
1692,6,散户永远缺的是格局，格局，还是格局。千亿大盘，大周,股友891UY22931,06-13 17:10
1072,4,单吊满仓海控，坚定持有，涨到38才6的市盈率有什么可,观注好股,06-13 17:05
6021,3,【资讯早知道】抢完箱子抢舱位  海运行业还能火多久？,嘉实基金,06-13 17:04
264,0,25.88你我发发，哈哈哈哈哈哈哈哈,股友6JbSnA,06-13 17:02
2026,1,在资本市场上，历史总是惊人的相似！在中远海控这儿，,耐心忍耐,06-13 16:55
393,2,中国铝业会赚更好的！,股友tc9uhf,06-13 16:52
2339,4,$中远海控(SH601919)$坚持做多中远海控，结果让我们拭,海控股东888,06-13 16:47
1674,24,好心提醒各位，赶紧跑，为什么呢，因为本韭菜加仓了，,中远海控梭哈哥,06-13 16:18
992,6,其实面对这种大盘基本面优良的公司我觉得还是要摒弃a,别吹了我买,06-13 16:11
2891,26,混迹海控吧几个月得遇的大神随着海控股价屡创新高，韩,股市渣男只做波段,06-13 15:58
380,0,被市场忽略的华为投资公司。值得关注！,壹加壹大於叄,06-13 15:52
1309,4,刚刚看了某医美龙头（*姿）那种业绩，（现在深交所要,股友678909fn89,06-13 15:52
1154,3,长荣当前股价124，目标价220。中远当前25.88，目标价,股友891UY22931,06-13 15:47
386,0,走在破百的路上,白菜豆腐大米饭,06-13 15:46
802,10,曾经的ST远洋大家可别忘了！都看好说不定就会腰斩在回,去看最美的风景,06-13 15:45
5440,57,豪赌周期股,股友9063772AV6,06-13 15:42
709,4,信不信还能涨三倍,海控天空,06-13 15:38
3628,14,新手请教一个问题，我月底进账一笔钱，是在10转3前找,海控带上我,06-13 15:38
606,2,中远海控，目前高位了，等回调…,大人此事必有蹊跷,06-13 15:37
698,3,比亚迪十年也赚不到海控一年的利润，市盈率却是海控的,郭杰森斯坦森,06-13 15:31
316,0,转发,游鳄猎手,06-13 15:30
580,5,涨太多了，不如同行业的票，盛航股份周四有涨板，我认,招财满堂de鲁班,06-13 15:29
709,3,抖音万手哥买了st兆新，兆新马上起飞了,Miss婉婉,06-13 15:28
353,0,唱这多，又是看空，看不空，我说点自已的领悟，谁都是,天河之舞0576,06-13 15:23
5241,55,1993年的六月，我参加高考，我的父亲放弃了石家庄的生,N先森看票,06-13 15:22
475,1,送给那些看空看多争的面红耳赤的朋友：这个世界最愚蠢,炒股扯了蛋,06-13 17:51
547,1,周二开盘，跳空高开高走，28元左右收盘，上升趋势不给,股友891UY22931,06-13 16:09
793,6,谁知道长荣现在多少钱？,合适的环境下,06-13 16:00
2450,4,股价为什么是38元,肖痕3888,06-13 15:44
1271,7,技术及基本外的另一种分析，现价安全还是危险,股友61Zk929797,06-13 15:33
1340,1,每天进出货物上千吨的纺织市场，关了！物流严重受阻、,中远观沧海,06-13 15:25
513,2,我发起了一个投票，【#中远海控#海控周二开盘是否高位,垫资过桥,06-13 15:17
479,2,5个交易日赚了一万，留4手在里面成本1元。我的认知只,A壹B万利,06-13 15:16
1194,6,原创思考：想明白几个问题，调研一个价格，得出一个结,杨令公,06-13 15:15
473,3,跟润和软件6月8日形态好像一模一样哦[发呆][发呆],股友r81875G307,06-13 15:12
1069,7,为啥钱都让中远海控赚了，同一板块内其他公司业绩都无,散户变散修,06-13 15:11
338,2,何时10转3？,股友5H693Q0178,06-13 15:10
3596,10,中远海控作为难得的投资标的  -  劲爆大A股市,破0底0翻,06-13 15:10
46076,1550,复盘：这几天机构给大家连续上菜，有主动出击的大菜佛,中远海控钉子户,06-13 15:10
3007,28,最近，在股吧里有一个乱象。就是有些可怜的散户，已经,理财新秀珂骅,06-13 15:10
2462,13,告诉你何时股价见顶,股友61Zk929797,06-13 15:09
4955,11,偌大的流通盘，每天换手这么大，主力真不缺你那点筹码,杨令公,06-13 15:08
17778,101,周一集合竞价完毕，大圣直接开盘20.81抢筹码，马上公,精灵大圣520888,06-13 15:07
737,7,大件事了！成交100多亿，股价滞涨，哼哼，周二比谁跑,股友3ENjLn,06-13 15:07
1101,3,同样是刚需，市场趋于成熟，当房价涨了10倍，你认为还,股友891UY22931,06-13 15:07
686,6,庆祝中远拿满一年[让我看看][让我看看][让我看看],蔫巴的韭菜,06-13 15:05
6525,43,今天早上写好的帖子要放在下午收盘后发，为什么呢？因,我要我喜欢,06-13 15:05
6095,0,中远海控一年运输2000万个外贸集装箱，平均一个季度50,佛见喜,06-13 14:59
614,7,兄弟们现在还能不能上车业绩太牛逼了,足智成章的韦小宝,06-13 14:52
1224,8,感谢中远海控，今天减仓了，每次无脑看多的人太多情绪,混元大师兄,06-13 14:50
6798,14,我再给大家透漏一个“小秘密”，中远海控很神奇，自从,理财新秀珂骅,06-13 14:48
892,3,中远海控：每日盈利2亿元；权威机构：到底值38元还是4,股市经纬线,06-13 14:44
4303,29,很想知道一但国外疫情控制住了那些推挤如山的箱子回到,尔等都是韭菜,06-13 14:43
3603,14,这股才不多已经到顶了！见好就收！加速上涨见顶！最后,怼龙头0超大棒,06-13 14:30
2520,22,收盘后，运价指数更新了，又涨了接近百分之3，运价不,摩根士丹利168,06-13 14:29
2709,7,加速阶段，随着获利盘增加，随时面临巨量下跌，小心为,JTpro,06-13 14:18
751,0,回答跟我买了海控的朋友们热点疑问！,储哥哥,06-13 14:14
519,3,海王在这个位置？,股友891UY22931,06-13 14:12
2928,16,中远海控大宗交易成交11.60万股 成交额300.21万元,中远海控资讯,06-13 14:09
300,0,海南航空要起飞了！大家快点上车,万事多谋得林平之,06-13 14:08
1052,8,近3年TOP20基金产品，前海开源还是牛啊，你持有了那只,十年财务自由之路,06-13 14:07
639,3,卧槽，开盘跌这么多？奔跌停去了，什么情况？,股友3ENjLn,06-13 14:02
379,0,巨人也有春天，十倍股横空出世,踏浪而行8,06-13 14:00
1805,2,我只知道现在海控的船长发动机油门都拉到底了狠不得船,银泉马,06-13 13:57
507,5,3.14-31.4！绝对是顶部！现在还没到顶！不过风险已经,炒股9亏一赢,06-13 13:57
875,8,下周二开盘如果跌破红线，表面走弱需做好减仓准备！,基民97RD503038,06-13 13:57
1045,24,又给你一次逃跑的机会,短线d王者,06-13 13:50
6080,13,很多人说到了量能的问题，说量能创下了新高，其实这是,一网打尽一头牛,06-13 13:36
1108,20,5.18日已经清仓了，后边低点会去介入,短线d王者,06-13 13:35
306,0,这个票赚很多钱市值又不是很大买了应该能赚钱,想要很多钱,06-13 13:33
415,3,【本周策略】以中期配置思路应对短期预期波动,小黑如我,06-13 13:31
667,0,股票投资本来就没有百分之百确定赚钱的事情，百分之百,股友6hH8267217,06-13 13:24
3993,7,中远是欧美印钞，中国出口暴增最大的受益者，现在再用,风起尘落1,06-13 13:23
317,0,无根无据又疯了一个抓紧治疗，特意提示预约脑科专家,金银高升的向问天,06-13 13:11
1482,10,下调中远海控目标价到16.3元,股友3ENjLn,06-13 13:06
677,6,下周看到11.3元,股友93977Jr060,06-13 12:57
410,2,哗好高己在天花板。跳舞了，等小散接盘吗？,年年大胜,06-13 12:56
321,0,9月，乐视发布手机。,专业韭菜帮扶帮扶帮扶,06-13 12:52
519,3,做了两回T成本涨了一元[害羞羞],金玉利市的郭大路,06-13 12:50
1088,17,我只是股本不大的散户而已，不断学习中[加油][加油],中远海控的钉子户,06-13 12:45
1364,22,2016年还是2017年，三聚环保从15元涨到48元的时候，论,中远海控的钉子户,06-13 12:39
319,0,海运舍，价格向舍得看齐,zajife,06-13 12:31
4140,7,中远海控， 本月将有很好的表现， 目标看17和20,N先森看票,06-13 12:30
448,5,高位十字星，加长上影线，看跌。,包钢终身股东,06-13 12:24
2828,0,彭博社：国际货运价格持续上涨国际货运价格的持续上涨,满仓GuZiMi,06-13 12:19
402,1,今天可以挂周二的单吗，还是说要周一挂才有效,和气发财地老夫子,06-13 12:08
362,0,下一个宝库：中国铝业！,股友tc9uhf,06-13 12:06
417,1,不回调一次真不敢买,囧架囧囧架,06-13 12:04
343,0,盛航股份吧太冷清了，我来这里看看[微笑][大笑],寻找妖股起爆点,06-13 11:55
345,0,看着中航.我在买盛航股份。估计应该会起飞[大笑],寻找妖股起爆点,06-13 11:54
686,4,兆新正在脱胎换骨的思路已经很明确了！陈永弟将兆新价,股友2R99E57193,06-13 11:52
465,4,转发,印第安的小铁匠,06-13 11:50
900,2,看吧里唱多和唱空的都不少，这是好事其实意义都不，大,居然要名字,06-13 11:34
525,0,华尔街公牛哥下达江湖令：,华尔街公牛哥,06-13 11:33
344,0,节能退,股友058D02h827,06-13 11:29
5056,48,轮动不停浙江受消息面刺激而爆发，持续性暂时不太好判,顶级游资老张,06-13 11:28
764,4,这里应该是要加速了，下周最少30%,好吗还好吗,06-13 11:25
801,1,好多人在问送股日期，自己看吧，作为参考。我估计下周,股友891UY22931,06-13 11:09
3976,14,和我预判的走势完全相同，唯一有点出乎我意料的是量稍,一网打尽一头牛,06-13 11:02
371,0,转发,印第安的小铁匠,06-13 10:46
315,0,转发,印第安的小铁匠,06-13 10:46
600,3,这研报和涨停的时间节点选得真好…,下雨天钓虾,06-13 10:46
235,0,转发,印第安的小铁匠,06-13 10:44
320,0,转发,印第安的小铁匠,06-13 10:43
564,2,有个疑问：为什么军军的研报给出的价格尾数都是8呢？1,凭阑静听萧萧雨,06-13 10:42
1220,4,说句实在话，股吧里面其实都是普通人，根本就没有所谓,理财新秀珂骅,06-13 14:16
556,3,周一直接画红线，想走可以，想进没门！,宏图生财得梦竹,06-13 13:02
2392,3,相对来说涨的有点高，可能还要涨一段时间，更看好滞涨,醉清风6666,06-13 11:16
738,3,除非七月份不炒中报，炒中报就离不开海控，整个A股市,基民3Z5Bhf,06-13 11:15
3094,3,庄家用20天建仓完成。配合发利好，明确告诉小散们，我,平心静气005,06-13 11:12
281,0,转发,印第安的小铁匠,06-13 10:41
261,0,转发,印第安的小铁匠,06-13 10:40
383,1,必须的填权,白菜豆腐大米饭,06-13 10:40
3951,6,突破己然有效。不出意外，股价将在周四涨停价附近震荡,耐心忍耐,06-13 10:28
403,0,真正的妖股,股友33188,06-13 10:28
3769,6,他日果真手握700亿现金，行情岂是一个十字星就能结束,低吸致富,06-13 10:07
428,1,沪股通增持了，过个一两天外资就要砸盘获利出逃了，他,股友72A3p05917,06-13 10:06
369,1,谁轻易抛弃便宜筹码，谁就要加价买回来。,法盲律师,06-13 10:06
263,0,转发,尼古拉斯皓月当空,06-13 09:55
276,0,转发,尼古拉斯皓月当空,06-13 09:52
1507,1,新人今年第一次买股票机缘巧合下看到中远海控，当时13,骑扬民丰得白沉香,06-13 09:51
672,0,9大领域！26支碳中和概念股，果断收藏，日后用！操盘,a股市财经,06-13 09:29
337,0,转发,hxj96j65241,06-13 09:21
404,6,我只知道吧里看多的多了自然下跌,财神附身天天红,06-13 09:20
1135,0,目前，盐田港的集装箱拥堵仍在继续，已影响到附近的蛇,股友3mg海控,06-13 09:20
515,0,盐田港拥堵影响已超苏伊士运河拥堵全球海运股大涨估计,单吊一枝,06-13 09:09
323,0,转发,金玉亨通8888,06-13 09:07
62967,400,中信建投“放卫星”：上调中远海控2021年盈利预测至77,中远海控资讯,06-13 09:07
1005,9,67.8历史高点，很多年之前，一路下跌到几块钱。这就是,猎妖师Jackbless,06-13 09:03
725,14,星辰大海,中远钉大妈,06-13 09:01
437,0,高位放量十字星，下周够呛了。但是长期看没问题，下周,青蓝后世光影,06-13 09:00
3054,2,大家早上好，说下当前思路，周末继续讲板块,短中线mei95999,06-13 08:59
2101,5,投资一定会有风险，如何将风险降到最低，分批建仓，分,大连投资小姐姐,06-13 08:58
428,0,30元,股友l21Wig,06-13 08:57
330,0,转发,印第安的小铁匠,06-13 08:57
466,0,中远海控：你的格局太小了，26元都不到；贫穷限制了你,股市经纬线,06-13 08:56
1818,0,沉寂多年的“航运茅”近期重新火起来了。6月11日，中,海虹沉浮,06-13 08:56
328,0,转发,印第安的小铁匠,06-13 08:55
60016,1795,复盘：昨天我在留言中说生活中雪中送炭的极少，锦上添,中远海控钉子户,06-13 08:54
1420,1,坚持做多中远海控，结果让我们拭目以待吧。我做多中远,股友891UY22931,06-13 08:46
519,2,高位十字星……,股友o38217c350,06-13 08:44
13332,23,晓逢：中远海控下周变盘再即,晓逢投资,06-13 08:32
2686,15,下午第一个帖子只说了个股好的一面，这个帖子学生要提,作手令狐冲,06-13 08:26
376,2,今天涨停不会的，下午开盘会微微下跌的,短线王者农药,06-13 08:19
2166,2,来一个长线标的只买不卖,擒妖伏牛,06-13 08:08
3822,61,今天外出了，空闲时写这篇帖子，是因为最近发现有的朋,我要我喜欢,06-13 07:46
421,0,涨上去了到时候韩军再调呗,基民QcQoxF,06-13 07:43
2630,35,我想好了，今天还是发点有价值观点的东西出来，不知不,我要我喜欢,06-13 07:35
463,3,星期二跳空低开低走，全部吃面，都有，大家别抢，主力,蝌蚪的小号,06-13 07:15
464,2,韩军说的6个月内38转股之后38？,八方腾达得白鹤,06-13 07:14
84508,12,重点关注中证500,布衣书生走天下,06-13 07:09
757,3,#中远海控#感谢中国医学家的防疫疫苗！周二开始6个涨,大唐雨音968,06-13 06:59
265,1,请教各位大侠，昨天看到有人发帖说10送3，什么时候啊,招财富贵de苗若兰,06-13 06:52
302,0,牛,蔚蓝锂芯十倍股,06-13 06:37
724,5,股吧有个叫“我要我喜欢”的是个彻头彻尾嗯骗子，大家,股友UA2PFU,06-13 06:35
4713,2,【资讯早知道】财联社午报：题材炒作情绪火爆，两市近,嘉实基金,06-13 06:09
828,10,放量十字星，后面必调整。,股市闯荡二十年,06-13 06:05
341,0,大红花桥众人抬，只有大户能左右倒手套票，其它散户需,江门的啊哈哈,06-13 05:43
1183,3,中远海控下周预计26块开盘，微涨2至4点，周二周三调整,股友5N1612o503,06-13 05:09
1163,15,[偷笑]为什么硬是把上涨中继的空中加油说成高位出货呢,爽朗的笑笑,06-13 05:08
3192,8,谈一下中远海控的股价。这几个月海控因其惊人的业绩一,股友891UY22931,06-13 04:53
6615,17,你们仔细想一想，换手上来，百亿以上交易量，股票滞涨,Fenix117,06-13 04:52
2662,49,散户亏钱的原因,股友61Zk929797,06-13 03:48
646,5,最后那个尾盘向下是什么情况。不会和白酒一样吧。,波澜不惊耐心等待,06-13 03:24
268,0,楼盖的有点高，有点怕怕，换个安全的ST勤上即将摘帽，,总督1,06-13 02:47
9352,70,朋友们慌吗？,半坡道人,06-13 02:27
505,0,我看好中远海控，所以重仓还要加仓，而且捂住坚决不松,刀刀倾城,06-13 01:29
12822,4,今年要赚775亿 券商高呼中远海控再涨50%,狗蛋,06-13 01:25
358,1,我靠，怎么突然出来这么多踏空的,股友869833ZQ61,06-13 01:13
242,0,不好意思，大家都在画上行轨道。但是我觉得他要脱轨往,妖怪看你哪里跑,06-13 01:09
284,0,突然发现了一只好股,重案组之虎vtc,06-13 00:43
11837,47,我已出仓，感觉良好！尊敬的中远海控及中远海控的庄家,中远系老大,06-13 00:31
296,1,只有无与伦比的专注，才会有超乎寻常的回报！,大洋黑洞888,06-13 00:27
218,0,完蛋了,生龙活虎的股哥,06-13 00:16
4862,48,中远海控，本周行情完全在预测范围之内,N先森看票,06-13 00:00
454,0,#中远海控#首先：增加船，箱运指数煤增200倍，别的您,大唐雨音968,06-12 23:52
593,5,黄昏之星！下周来说大跌模式！十一之前回归10元时代,追涨杀跌我最忙,06-12 23:52
1637,15,…就是突破后的一个调整，竟然有这么多看空的，醉了。,小柚子PiaPia,06-12 23:46
287,0,甘肃武威(古称-凉州)葡萄酒名扬天下,云龙风虎1288,06-12 23:42
1487,6,重要的话重复一次，希望散户不要再被割，大家赚多啲,股友61Zk929797,06-12 23:39
672,6,【我要我喜欢】大家自己去品,股友2588585l6w,06-12 23:39
1642,8,我是永远的韭菜,有亏有赚就是股票,06-12 23:34
750,8,26.2进了，有点追高[哭][哭][哭],股友站在地铁口8009,06-12 23:29
